"Line" "Gener" "ind" "bloss" "GenLine" "dam" "sire" "SEL" "GA" "logGA" "UBA" "logUBA"
"1" "Parent" "P" "70023" 1 "PParent" "40094" "40144" "UtF1" 23.98 3.17722014959937 379.03 5.9376153576226
"2" "Parent" "P" "70023" 2 "PParent" "40094" "40144" "UtF1" 22.09 3.09512501743203 431.97 6.06835614138829
"3" "Parent" "P" "70023" 3 "PParent" "40094" "40144" "UtF1" 21.83 3.08328517056185 388.28 5.96172672884403
"4" "Parent" "P" "70023" 4 "PParent" "40094" "40144" "UtF1" 25.7 3.24649099190117 577.43 6.35858722292795
"5" "Parent" "P" "70026" 1 "PParent" "40065" "40044" "no" 18.84 2.93598226914822 326.34 5.78793978266292
"6" "Parent" "P" "70026" 2 "PParent" "40065" "40044" "no" 21.64 3.07454345397828 429.39 6.06236559686424
"7" "Parent" "P" "70026" 3 "PParent" "40065" "40044" "no" 20.73 3.03158192644769 360.07 5.88629845699273
"8" "Parent" "P" "70026" 4 "PParent" "40065" "40044" "no" 20.06 2.99872778253379 344.12 5.84099043375315
"9" "Parent" "P" "70030" 1 "PParent" "40053" "40053" "no" 15.86 2.7638002162067 377.11 5.93253692207765
"10" "Parent" "P" "70030" 2 "PParent" "40053" "40053" "no" 22.97 3.13418901670101 461.88 6.13530511708366
"11" "Parent" "P" "70030" 3 "PParent" "40053" "40053" "no" 22.1 3.09557760852371 578.56 6.36054225776376
"12" "Parent" "P" "70030" 4 "PParent" "40053" "40053" "no" 22.74 3.12412548832239 545.9 6.30243580878771
"13" "Parent" "P" "70035" 1 "PParent" "40145" "40145" "no" 17.5 2.86220088092947 285.7 5.65494230923673
"14" "Parent" "P" "70035" 2 "PParent" "40145" "40145" "no" 16.91 2.82790516291049 354.37 5.87034156503504
"15" "Parent" "P" "70035" 3 "PParent" "40145" "40145" "no" 17.91 2.88535921607262 374.06 5.92441621235485
"16" "Parent" "P" "70035" 4 "PParent" "40145" "40145" "no" 20.99 3.04404613383254 445.96 6.10022926189937
"17" "Parent" "P" "70039" 1 "PParent" "40053" "40149" "no" 18.99 2.94391252482419 299.81 5.70314894068259
"18" "Parent" "P" "70039" 2 "PParent" "40053" "40149" "no" 19.99 2.99523214851231 386.68 5.9575974775964
"19" "Parent" "P" "70039" 3 "PParent" "40053" "40149" "no" 14.52 2.67552700939665 324.2 5.78136060930158
"20" "Parent" "P" "70039" 4 "PParent" "40053" "40149" "no" 17.67 2.87186828633161 430.72 6.06545822701631
"21" "Parent" "P" "70043" 1 "PParent" "40108" "40108" "no" 14.76 2.69192081917233 238.41 5.4739918806202
"22" "Parent" "P" "70043" 2 "PParent" "40108" "40108" "no" 17.97 2.88870370079547 338.91 5.82573458540695
"23" "Parent" "P" "70043" 3 "PParent" "40108" "40108" "no" 19.74 2.98264703400534 354.68 5.87121597451181
"24" "Parent" "P" "70043" 4 "PParent" "40108" "40108" "no" 15.53 2.7427736371606 287.81 5.66230054020126
"25" "Parent" "P" "70048" 1 "PParent" "40153" "40103" "UtF1" 23.37 3.15145314855077 487.97 6.19025392855362
"26" "Parent" "P" "70048" 2 "PParent" "40153" "40103" "UtF1" 17.45 2.85933964864844 418.71 6.03717855618866
"27" "Parent" "P" "70048" 3 "PParent" "40153" "40103" "UtF1" 24.24 3.18800416120111 463.44 6.13867692678837
"28" "Parent" "P" "70048" 4 "PParent" "40153" "40103" "UtF1" 21.42 3.0643250650196 419.11 6.03813341530015
"29" "Parent" "P" "70056" 1 "PParent" "40148" "40044" "no" 21.34 3.06058324587361 366.41 5.90375292500396
"30" "Parent" "P" "70056" 2 "PParent" "40148" "40044" "no" 22.4 3.10906095886099 293.43 5.68163910997051
"31" "Parent" "P" "70056" 3 "PParent" "40148" "40044" "no" 17.3 2.85070650150373 279.36 5.63250127265124
"32" "Parent" "P" "70056" 4 "PParent" "40148" "40044" "no" 19.86 2.98870765861703 390.63 5.96776082040875
"33" "Parent" "P" "70059" 1 "PParent" "40022" "40028" "no" 17.11 2.8396630879041 352.72 5.86567454104968
"34" "Parent" "P" "70059" 2 "PParent" "40022" "40028" "no" 23.59 3.16082289341958 367.53 5.90680494797419
"35" "Parent" "P" "70059" 3 "PParent" "40022" "40028" "no" 21.93 3.0878555624298 412.09 6.02124177209548
"36" "Parent" "P" "70059" 4 "PParent" "40022" "40028" "no" 18.88 2.93810316071735 401.16 5.99436035022001
"37" "Parent" "P" "70063" 1 "PParent" "40114" "40114" "DtF1" 12.63 2.5360749363624 183.1 5.21003245168046
"38" "Parent" "P" "70063" 2 "PParent" "40114" "40114" "DtF1" 19.76 2.98365969231972 297.44 5.69521252397313
"39" "Parent" "P" "70063" 3 "PParent" "40114" "40114" "DtF1" 16.32 2.79239134953596 243.59 5.49548648409001
"40" "Parent" "P" "70063" 4 "PParent" "40114" "40114" "DtF1" 16.86 2.82494395257371 260.58 5.56290991577479
"41" "Parent" "P" "70070" 1 "PParent" "40154" "40131" "no" 23.37 3.15145314855077 362.07 5.89183756329792
"42" "Parent" "P" "70070" 2 "PParent" "40154" "40131" "no" 21.53 3.06944731137627 361.1 5.88915492828341
