"ind" "Line" "Gener" "SEL" "logGA" "logBA" "logGAc" "logBAc"
"1" "UP1_1" "Up" "F1" "no" 3.387678223472 6.20815794061973 0.0437048909456133 0.0962144479240639
"2" "UP1_2" "Up" "F1" "no" 3.47447969659763 6.19138752198546 0.130506364071248 0.0794440292897978
"3" "UP1_3" "Up" "F1" "no" 3.46158694805401 6.16699485643134 0.117613615527629 0.0550513637356698
"4" "UP1_4" "Up" "F1" "no" 3.35834379744413 6.24095693022253 0.0143704649177412 0.129013437526864
"5" "UP1_5" "Up" "F1" "UtF2" 3.5066133752097 6.20888814814011 0.162640042683313 0.0969446554444433
"6" "UP1_6" "Up" "F1" "no" 3.27506881420148 6.22692495457416 -0.0689045183249024 0.114981461878491
"7" "UP1_7" "Up" "F1" "UtF2" 3.50099387912308 6.32817178083812 0.157020546596696 0.216228288142458
"8" "UP1_8" "Up" "F1" "no" 3.30438008438707 6.24371731844538 -0.0395932481393122 0.131773825749717
"9" "UP1_9" "Up" "F1" "no" 3.43272488423142 6.16999865462688 0.0887515517050312 0.0580551619312182
"10" "UP1_10" "Up" "F1" "no" 3.46508148192993 6.19666558534912 0.121108149403549 0.084722092653454
"11" "UP1_11" "Up" "F1" "UtF2" 3.51212883617569 6.39729753898359 0.1681555036493 0.285354046287929
"12" "UP1_12" "Up" "F1" "no" 3.34371631138153 6.07212819694557 -0.000257021144852487 -0.0398152957500999
"13" "UP1_13" "Up" "F1" "no" 3.39459397433159 6.30360250754468 0.050620641805208 0.191659014849018
"14" "UP1_14" "Up" "F1" "no" 3.17774257396125 6.19496922466745 -0.166230758565137 0.0830257319717811
"15" "UP1_15" "Up" "F1" "no" 3.36749950440613 6.14508096559332 0.0235261718797455 0.0331374728976535
"16" "UP1_16" "Up" "F1" "UtF2" 3.57435779648093 6.11783798829861 0.230384463954542 0.00589449560294319
"17" "UP1_17" "Up" "F1" "no" 3.30047445702623 6.19422955987586 -0.0434988755001564 0.0822860671801946
"18" "UP1_18" "Up" "F1" "no" 3.31449959076378 6.22563937763691 -0.0294737417626076 0.113695884941239
"19" "UP1_19" "Up" "F1" "no" 3.20633432102759 6.23069135740543 -0.137639011498795 0.118747864709762
"20" "UP1_20" "Up" "F1" "no" 3.31610017901949 6.30452783491078 -0.0278731535068997 0.192584342215112
"21" "UP1_21" "Up" "F1" "no" 3.27370094210898 5.95034556858541 -0.0702723904174043 -0.161597924110259
"22" "UP1_22" "Up" "F1" "no" 3.45272099158687 6.29141732336628 0.10874765906048 0.179473830670611
"23" "UP1_23" "Up" "F1" "UtF2" 3.61875598187797 6.17809213090332 0.274782649351587 0.066148638207653
"24" "UP1_24" "Up" "F1" "no" 3.38765929296306 6.18552321115958 0.0436859604366711 0.073579718463912
"25" "UP1_25" "Up" "F1" "UtF2" 3.49045834516027 6.16806296373521 0.146485012633887 0.0561194710395423
"26" "UP1_26" "Up" "F1" "no" 3.06898820416878 6.24113449487389 -0.274985128357609 0.129191002178223
"27" "UP1_27" "Up" "F1" "no" 3.43105752785134 6.43889755153559 0.0870841953249575 0.326954058839922
"28" "UP1_28" "Up" "F1" "UtF2" 3.52766863773676 6.32346031471091 0.183695305210374 0.211516822015244
"29" "UP1_29" "Up" "F1" "no" 3.35875213275065 6.14976112876089 0.0147788002242626 0.0378176360652276
"30" "UP1_30" "Up" "F1" "no" 3.27878427867933 6.1576978196899 -0.0651890538470576 0.0457543269942295
"31" "UP1_31" "Up" "F1" "UtF2" 3.53156603868775 6.425546229039 0.187592706161369 0.313602736343333
"32" "UP1_32" "Up" "F1" "no" 3.21364813466328 6.04250375391514 -0.130325197863107 -0.0694397387805221
"33" "UP1_33" "Up" "F1" "no" 3.22844813677062 6.07154727711463 -0.115525195755765 -0.0403962155810316
"34" "UP1_34" "Up" "F1" "no" 3.19694814900414 6.09672504941072 -0.147025183522245 -0.0152184432849491
"35" "UP1_35" "Up" "F1" "no" 3.27392930580538 6.11587171164296 -0.0700440267210007 0.00392821894729334
"36" "UP1_36" "Up" "F1" "no" 3.03289719081288 6.33837583161797 -0.311076141713506 0.226432338922305
"37" "UP1_37" "Up" "F1" "no" 3.19378155799536 6.06656070493401 -0.150191774531021 -0.0453827877616524
"38" "UP1_38" "Up" "F1" "no" 3.33470357219752 6.26883813067516 -0.0092697603288654 0.156894637979493
"39" "UP1_39" "Up" "F1" "no" 3.4390042779661 6.11838308686832 0.095030945439718 0.00643959417265627
"40" "UP1_40" "Up" "F1" "UtF2" 3.58105917840521 6.21599695404525 0.237085845878821 0.10405346134958
"41" "UP1_41" "Up" "F1" "no" 3.48946231776258 6.35473330416683 0.145488985236197 0.242789811471162
"42" "UP1_42" "Up" "F1" "no" 3.47526857766553 6.35912466634658 0.131295245139146 0.247181173650917
"43" "UP1_43" "Up" "F1" "no" 3.43946796009851 6.19103414215267 0.0954946275721209 0.0790906494570009
"44" "UP1_44" "Up" "F1" "no" 3.1796790444045 5.79923104822504 -0.16429428812189 -0.312712444470626
"45" "UP1_45" "Up" "F1" "no" 3.18196931984193 5.98124589194791 -0.162004012684456 -0.130697600747753
"46" "UP1_46" "Up" "F1" "no" 3.24966289870081 6.07913873826894 -0.0943104338255751 -0.032804754426726
"47" "UP1_47" "Up" "F1" "UtF2" 3.61996978717269 6.25168962807206 0.275996454646303 0.139746135376393
"48" "UP1_48" "Up" "F1" "UtF2" 3.51626321848472 6.14614574041287 0.17228988595833 0.034202247717209
"49" "UP1_49" "Up" "F1" "no" 3.26704022951315 6.11808272854383 -0.0769331030132392 0.00613923584816689
"50" "UP1_50" "Up" "F1" "UtF2" 3.49599863655155 6.30172107712958 0.15202530402516 0.18977758443391
"51" "UP1_51" "Up" "F1" "no" 3.27261399280433 6.13047838335976 -0.0713593397220564 0.0185348906640987
"52" "UP1_52" "Up" "F1" "no" 3.22549172245458 5.85562629614119 -0.118481610071802 -0.256317196554472
"53" "UP1_53" "Up" "F1" "no" 3.24720194234653 6.00989565429498 -0.0967713901798586 -0.102047838400687
"54" "UP1_54" "Up" "F1" "UtF2" 3.50283661678116 6.22201219481296 0.158863284254777 0.110068702117292
"55" "UP1_55" "Up" "F1" "no" 3.315801396303 6.39144226394856 -0.0281719362233863 0.279498771252891
"56" "UP1_56" "Up" "F1" "no" 3.45373891513634 6.15658904604077 0.109765582609952 0.044645553345104
"57" "UP1_57" "Up" "F1" "UtF2" 3.4894857860352 6.34357474583313 0.145512453508813 0.231631253137462
"58" "UP1_58" "Up" "F1" "no" 3.38213363307834 6.21282919848126 0.0381603005519504 0.100885705785593
"59" "UP1_59" "Up" "F1" "no" 3.44088643261201 6.26840475778671 0.0969131000856267 0.156461265091042
"60" "UP1_60" "Up" "F1" "no" 3.44134950779479 6.19165357528819 0.097376175268403 0.079710082592527
"61" "UP1_61" "Up" "F1" "UtF2" 3.50896710991102 6.20220864926277 0.164993777384636 0.0902651565671082
"62" "UP1_62" "Up" "F1" "UtF2" 3.54869203905859 6.48273881165611 0.204718706532209 0.370795318960448
"63" "UP1_63" "Up" "F1" "no" 3.38436227140869 6.13035257942616 0.040388938882304 0.0184090867304958
"64" "UP1_64" "Up" "F1" "no" 3.45217897346137 6.16341020476755 0.108205640934986 0.0514667120718828
"65" "UP1_65" "Up" "F1" "no" 3.43305637473783 6.23180615253946 0.0890830422114464 0.119862659843795
"66" "UP1_66" "Up" "F1" "no" 3.42368733389 6.26136394883502 0.0797140013636151 0.149420456139356
"67" "UP1_67" "Up" "F1" "no" 3.23408134321322 5.94386547088301 -0.109891989313164 -0.168078021812653
"68" "UP1_68" "Up" "F1" "no" 3.19563687124686 6.00701908012119 -0.148336461279526 -0.104924412574473
