"Line" "Gener" "ind" "bloss" "GenLine" "dam" "sire" "SEL" "GA" "logGA" "UBA" "logUBA"
"1" "Up" "F1" "UP1_1" 1 "F1Up" "51017" "51087" "no" 28.49 3.34955314850982 359.69 5.88524254936989
"2" "Up" "F1" "UP1_1" 2 "F1Up" "51017" "51087" "no" 33.68 3.51690418937413 581.06 6.36485402174366
"3" "Up" "F1" "UP1_1" 3 "F1Up" "51017" "51087" "no" 27.02 3.29657733253205 586.62 6.37437725074563
"4" "Up" "F1" "UP1_2" 1 "F1Up" "51017" "51136" "no" 26.52 3.27789916531766 450.54 6.11044686333985
"5" "Up" "F1" "UP1_2" 2 "F1Up" "51017" "51136" "no" 36.66 3.60168624241156 543.92 6.2988021772182
"6" "Up" "F1" "UP1_2" 3 "F1Up" "51017" "51136" "no" 34.6 3.54385368206368 475.76 6.16491352539834
"7" "Up" "F1" "UP1_3" 1 "F1Up" "51017" "51153" "no" 39.78 3.68336427342583 507.14 6.22878709959546
"8" "Up" "F1" "UP1_3" 2 "F1Up" "51017" "51153" "no" 30.12 3.40518940293169 512.01 6.23834415609878
"9" "Up" "F1" "UP1_3" 3 "F1Up" "51017" "51153" "no" 27.01 3.29620716780452 417.32 6.03385331359977
"10" "Up" "F1" "UP1_4" 1 "F1Up" "51017" "51243" "no" 23.67 3.16420842352589 474.48 6.16221946753047
"11" "Up" "F1" "UP1_4" 2 "F1Up" "51017" "51243" "no" 32.92 3.49408037580887 540.74 6.29293857182815
"12" "Up" "F1" "UP1_4" 3 "F1Up" "51017" "51243" "no" 30.47 3.41674259299762 527.27 6.26771275130897
"13" "Up" "F1" "UP1_5" 1 "F1Up" "51049" "51017" "UtF2" 33.7 3.51749783735832 587.84 6.37645480202676
"14" "Up" "F1" "UP1_5" 2 "F1Up" "51049" "51017" "UtF2" 31.37 3.44585202220259 413.78 6.0253344316156
"15" "Up" "F1" "UP1_5" 3 "F1Up" "51049" "51017" "UtF2" 35.04 3.55649026606819 505.16 6.22487521077797
"16" "Up" "F1" "UP1_6" 1 "F1Up" "51049" "51136" "no" 30.26 3.40982670836021 485.8 6.18579701656807
"17" "Up" "F1" "UP1_6" 2 "F1Up" "51049" "51136" "no" 27.58 3.31709087236516 508.2 6.23087507088606
"18" "Up" "F1" "UP1_6" 3 "F1Up" "51049" "51136" "no" 22.16 3.09828886187908 525.37 6.26410277626834
"19" "Up" "F1" "UP1_7" 1 "F1Up" "51049" "51243" "UtF2" 32.51 3.48154773431581 493.89 6.20231282032804
"20" "Up" "F1" "UP1_7" 2 "F1Up" "51049" "51243" "UtF2" 42.12 3.74052268726577 696.5 6.54606779321986
"21" "Up" "F1" "UP1_7" 3 "F1Up" "51049" "51243" "UtF2" 26.6 3.28091121578765 510.88 6.23613472896647
"22" "Up" "F1" "UP1_8" 1 "F1Up" "51063" "51077" "no" 30.09 3.40419289064195 470.06 6.15286034613078
"23" "Up" "F1" "UP1_8" 2 "F1Up" "51063" "51077" "no" 28.01 3.33256158927202 598.96 6.39519481792243
"24" "Up" "F1" "UP1_8" 3 "F1Up" "51063" "51077" "no" 23.96 3.17638577324725 484.49 6.18309679128294
"25" "Up" "F1" "UP1_9" 1 "F1Up" "51063" "51465" "no" 27.2 3.30321697330195 381.03 5.94287811218434
"26" "Up" "F1" "UP1_9" 2 "F1Up" "51063" "51465" "no" 36.07 3.58546149491545 494.47 6.20348648188168
"27" "Up" "F1" "UP1_9" 3 "F1Up" "51063" "51465" "no" 30.25 3.40949618447685 580.35 6.36363136981463
"28" "Up" "F1" "UP1_10" 1 "F1Up" "51063" "51485" "no" 34.55 3.54240755021368 420.35 6.04108769758131
"29" "Up" "F1" "UP1_10" 2 "F1Up" "51063" "51485" "no" 26.83 3.28952066443753 477.59 6.16875262383574
