ind	Line	Gener	block	dam	sire	bloss	malefl	gad	Gwtot	GHl	GHr	UBL	UBW	GA	UBA	lbl	lbw	selected	select_rand	SEL
70023	Parent	P	3	40094	40144	1	1	2.76	7.19	3.29	3.38	17.82	21.27	23.98	379.03	NA	NA	NA	NA	UtF1
70023	Parent	P	3	40094	40144	2	1	4.15	7.35	2.92	3.09	21.29	20.29	22.09	431.97	NA	NA	NA	NA	UtF1
70023	Parent	P	3	40094	40144	3	1	3.09	7.18	3.17	2.91	19.76	19.65	21.83	388.28	NA	NA	NA	NA	UtF1
70023	Parent	P	3	40094	40144	4	2	3.59	7.73	3.15	3.50	24.15	23.91	25.70	577.43	NA	NA	NA	NA	UtF1
70026	Parent	P	5	40065	40044	1	1	3.80	6.52	2.86	2.92	17.23	18.94	18.84	326.34	NA	NA	NA	NA	no
70026	Parent	P	5	40065	40044	2	1	3.61	7.25	2.92	3.05	19.58	21.93	21.64	429.39	NA	NA	NA	NA	no
70026	Parent	P	5	40065	40044	3	1	3.57	6.82	3.09	2.99	17.79	20.24	20.73	360.07	NA	NA	NA	NA	no
70026	Parent	P	5	40065	40044	4	1	3.29	7.05	2.94	2.75	17.72	19.42	20.06	344.12	NA	NA	NA	NA	no
70030	Parent	P	1	40053	40053	1	1	3.13	5.81	2.72	2.74	17.01	22.17	15.86	377.11	NA	NA	NA	NA	no
70030	Parent	P	1	40053	40053	2	1	4.07	7.52	2.89	3.22	19.84	23.28	22.97	461.88	NA	NA	NA	NA	no
70030	Parent	P	1	40053	40053	3	1	3.48	6.78	3.23	3.29	22.60	25.60	22.10	578.56	NA	NA	NA	NA	no
70030	Parent	P	1	40053	40053	4	1	3.26	7.29	3.03	3.21	22.11	24.69	22.74	545.90	NA	NA	NA	NA	no
70035	Parent	P	6	40145	40145	1	1	3.07	6.93	2.48	2.57	16.27	17.56	17.50	285.70	NA	NA	NA	NA	no
70035	Parent	P	6	40145	40145	2	1	3.05	6.79	2.56	2.42	17.97	19.72	16.91	354.37	NA	NA	NA	NA	no
70035	Parent	P	6	40145	40145	3	2	3.47	6.97	2.45	2.69	18.75	19.95	17.91	374.06	NA	NA	NA	NA	no
70035	Parent	P	6	40145	40145	4	2	3.26	7.34	2.94	2.78	20.81	21.43	20.99	445.96	NA	NA	NA	NA	no
70039	Parent	P	1	40053	40149	1	1	3.20	6.83	2.84	2.72	17.32	17.31	18.99	299.81	NA	NA	NA	NA	no
70039	Parent	P	1	40053	40149	2	1	4.14	7.10	2.88	2.75	18.78	20.59	19.99	386.68	NA	NA	NA	NA	no
70039	Parent	P	1	40053	40149	3	1	3.84	6.18	2.45	2.25	17.43	18.60	14.52	324.20	NA	NA	NA	NA	no
70039	Parent	P	1	40053	40149	4	1	4.30	6.89	2.68	2.45	20.53	20.98	17.67	430.72	NA	NA	NA	NA	no
70043	Parent	P	6	40108	40108	1	1	3.09	6.19	2.28	2.49	13.50	17.66	14.76	238.41	NA	NA	NA	NA	no
70043	Parent	P	6	40108	40108	2	1	2.86	6.62	2.85	2.58	18.29	18.53	17.97	338.91	NA	NA	NA	NA	no
70043	Parent	P	6	40108	40108	3	1	2.40	7.27	2.84	2.59	18.56	19.11	19.74	354.68	NA	NA	NA	NA	no
70043	Parent	P	6	40108	40108	4	1	2.79	6.15	2.64	2.41	16.96	16.97	15.53	287.81	NA	NA	NA	NA	no
70048	Parent	P	4	40153	40103	1	1	3.16	7.54	3.15	3.05	21.63	22.56	23.37	487.97	NA	NA	NA	NA	UtF1
70048	Parent	P	4	40153	40103	2	2	3.29	6.51	2.65	2.71	21.19	19.76	17.45	418.71	NA	NA	NA	NA	UtF1
70048	Parent	P	4	40153	40103	3	2	3.38	7.61	3.20	3.17	20.81	22.27	24.24	463.44	NA	NA	NA	NA	UtF1
70048	Parent	P	4	40153	40103	4	1	3.70	7.01	3.20	2.91	20.82	20.13	21.42	419.11	NA	NA	NA	NA	UtF1
70056	Parent	P	5	40148	40044	1	1	3.69	7.54	2.91	2.75	16.67	21.98	21.34	366.41	NA	NA	NA	NA	no
70056	Parent	P	5	40148	40044	2	1	2.99	7.38	3.03	3.04	14.91	19.68	22.40	293.43	NA	NA	NA	NA	no
70056	Parent	P	5	40148	40044	3	1	3.39	6.18	2.73	2.87	16.54	16.89	17.30	279.36	NA	NA	NA	NA	no
70056	Parent	P	5	40148	40044	4	2	3.95	7.13	2.77	2.80	18.88	20.69	19.86	390.63	NA	NA	NA	NA	no
70059	Parent	P	8	40022	40028	1	1	3.97	6.28	2.82	2.63	16.82	20.97	17.11	352.72	NA	NA	NA	NA	no
70059	Parent	P	8	40022	40028	2	1	3.89	7.76	3.08	3.00	17.46	21.05	23.59	367.53	NA	NA	NA	NA	no
70059	Parent	P	8	40022	40028	3	1	4.22	7.46	2.75	3.13	20.33	20.27	21.93	412.09	NA	NA	NA	NA	no
70059	Parent	P	8	40022	40028	4	1	4.14	7.07	2.82	2.52	19.82	20.24	18.88	401.16	NA	NA	NA	NA	no
70063	Parent	P	4	40114	40114	1	1	3.37	5.64	2.22	2.26	13.84	13.23	12.63	183.10	NA	NA	NA	NA	DtF1
70063	Parent	P	4	40114	40114	2	2	3.56	6.91	2.92	2.80	16.71	17.80	19.76	297.44	NA	NA	NA	NA	DtF1
70063	Parent	P	4	40114	40114	3	1	3.50	6.58	2.45	2.51	15.33	15.89	16.32	243.59	NA	NA	NA	NA	DtF1
70063	Parent	P	4	40114	40114	4	1	2.93	6.34	2.62	2.70	15.15	17.20	16.86	260.58	NA	NA	NA	NA	DtF1
70070	Parent	P	2	40154	40131	1	1	3.26	7.43	2.91	3.38	17.96	20.16	23.37	362.07	NA	NA	NA	NA	no
