No.	line	Line	pop	dam	sire	Gener	ind1	rep	ind	bloss	malefl	date	ASD	GAD	GW	GHl	GHr	UBL	UBW	GA	BA	SEL		
79	D	Down	70	70D3002	D3028	F4	4001	B	70D4001B	1	2	28.07.2016	0	3,15	6,1	2,29	2,38	17,19	17,24	14,2435	296,3556	NA		
135	D	Down	70	70D3002	D3028	F4	4001	B	70D4001B	2	1	08.08.2016	0	2,6	5,75	2,64	2,67	18,16	16,94	15,26625	307,6304	NA		
181	D	Down	70	70D3002	D3028	F4	4001	B	70D4001B	3	2	23.08.2016	0	3,12	6,06	2,3	2,18	17,65	16,36	13,5744	288,754	NA		
98	D	Down	70	70D3002	D3049	F4	4002	A	70D4002A	1	1	28.07.2016	0	2,9	6,42	2,45	2,16	18,39	17,99	14,7981	330,8361	NA		
150	D	Down	70	70D3002	D3049	F4	4002	A	70D4002A	2	1	08.08.2016	0	2,4	6,26	2,18	1,93	16,35	16,11	12,8643	263,3985	NA		
187	D	Down	70	70D3002	D3049	F4	4002	A	70D4002A	3	1	23.08.2016	0,71	2,73	6,21	2,46	2,36	17,73	16,41	14,9661	290,9493	NA		
56	D	Down	70	70D3002	D3049	F4	4002	B	70D4002B	1	1	26.07.2016	0	3,35	6,36	2,19	2,29	18,33	17,81	14,2464	326,4573	NA		
113	D	Down	70	70D3002	D3049	F4	4002	B	70D4002B	2	1	29.07.2016	0	2,88	6,48	2,52	2,41	18,36	18,58	15,9732	341,1288	NA		
152	D	Down	70	70D3002	D3049	F4	4002	B	70D4002B	3	2	08.08.2016	0	2,91	6,41	2,56	2,35	17,99	18,33	15,73655	329,7567	NA		
52	D	Down	70	70D3002	D3054	F4	4003	B	70D4003B	1	1	26.07.2016	0	3,08	5,35	1,88	1,85	16,06	14,93	9,97775	239,7758	NA		
219	D	Down	70	70D3002	D3054	F4	4003	B	70D4003B	2	1	28.08.2016	0	3,26	6,15	2,5	2,67	17,82	17,75	15,89775	316,305	NA		
220	D	Down	70	70D3002	D3054	F4	4003	B	70D4003B	3	1	28.08.2016	0	3	6,7	2,56	2,64	19,36	19,95	17,42	386,232	NA		
34	D	Down	70	70D3002	D3064	F4	4004	A	70D4004A	1	2	21.07.2016	1,21	3,02	6,44	1,9	2,09	19,4	18,89	12,8478	366,466	NA		
123	D	Down	70	70D3002	D3064	F4	4004	A	70D4004A	2	2	07.08.2016	0,2	2,84	4,86	1,9	1,77	18,32	15,39	8,9181	281,9448	NA		
163	D	Down	70	70D3002	D3064	F4	4004	A	70D4004A	3	3	10.08.2016	0,27	3,09	4,61	1,69	1,76	16,67	14,9	7,95225	248,383	NA		
