Generation 	Included 	Gener	Line	SEL	selected	line	dam	sire	plant	ident	Bloss	gad	gw	ghl	ghr	ubl	ubw	GA	UBA	lbl	lbw	INCLUDED 
1	1	F1	Up	no	0	UP	51017	51087	a	UP1_1	1	4.82	7.86	3.45	3.80	17.41	20.66	28.49	359.69	NA	NA	0
1	1	F1	Up	no	0	UP	51017	51087	a	UP1_1	2	6.39	8.56	3.65	4.22	21.73	26.74	33.68	581.06	NA	NA	0
1	1	F1	Up	no	0	UP	51017	51087	a	UP1_1	3	5.11	7.71	3.43	3.58	23.54	24.92	27.02	586.62	NA	NA	0
1	1	F1	Up	no	0	UP	51017	51136	a	UP1_2	1	4.27	8.00	3.11	3.52	19.01	23.70	26.52	450.54	NA	NA	0
1	1	F1	Up	no	0	UP	51017	51136	a	UP1_2	2	5.12	8.92	4.02	4.20	22.03	24.69	36.66	543.92	NA	NA	0
1	1	F1	Up	no	0	UP	51017	51136	a	UP1_2	3	4.46	8.46	3.95	4.23	19.34	24.60	34.60	475.76	NA	NA	0
1	1	F1	Up	no	0	UP	51017	51153	b	UP1_3	1	6.56	8.97	4.42	4.45	19.21	26.40	39.78	507.14	NA	NA	0
1	1	F1	Up	no	0	UP	51017	51153	b	UP1_3	2	5.23	8.00	3.97	3.56	21.76	23.53	30.12	512.01	NA	NA	0
1	1	F1	Up	no	0	UP	51017	51153	b	UP1_3	3	5.52	7.75	3.52	3.45	17.98	23.21	27.01	417.32	NA	NA	0
1	1	F1	Up	no	0	UP	51017	51243	a	UP1_4	1	4.55	7.48	2.79	3.54	19.51	24.32	23.67	474.48	NA	NA	0
1	1	F1	Up	no	0	UP	51017	51243	a	UP1_4	2	4.44	8.64	3.60	4.02	22.08	24.49	32.92	540.74	NA	NA	0
1	1	F1	Up	no	0	UP	51017	51243	a	UP1_4	3	5.08	8.03	3.78	3.81	20.99	25.12	30.47	527.27	NA	NA	0
1	1	F1	Up	UtF2	1	UP	51049	51017	a	UP1_5	1	5.45	8.72	4.02	3.71	22.36	26.29	33.70	587.84	NA	NA	0
