Generation	numb	LINE	Line	pop	dam 	sire	Gener	ind	rep	ident	Bloss	no.bloss	date	asd	gad	gw	ghl	ghr	ubl	ubw	GA	UBA	SEL		
4	39	D	Down	51	3002B	3025A	F4	4001	C	51D4001C	1	1	29.05.2017	5,47	4,96	7,67	3,03	3,37	20,2	27,05	24,544	546,41	NA		
4	137	D	Down	51	3002B	3025A	F4	4001	C	51D4001C	2	1	28.06.2017	3,79	4,38	6,46	2,41	2,81	19,03	21,95	16,8606	417,7085	NA		
4	174	D	Down	51	3002B	3025A	F4	4001	C	51D4001C	3	1	06.07.2017	2,72	5,23	6,8	2,55	2,59	17,72	21,37	17,476	378,6764	NA		
4	122	D	Down	51	3002B	3025A	F4	4001	D	51D4001D	1	1	27.06.2017	3,65	5,19	7,7	3,07	3,18	20,48	24,7	24,0625	505,856	NA		
4	213	D	Down	51	3002B	3025A	F4	4001	D	51D4001D	2	1	25.07.2017	3,23	4,42	6,91	3,34	2,98	18,33	22,33	21,8356	409,3089	NA		
4	214	D	Down	51	3002B	3025A	F4	4001	D	51D4001D	3	2	25.07.2017	2,78	5,83	7,64	2,94	3,04	18,12	24,35	22,8436	441,222	NA		
4	50	D	Down	51	3002B	3033B	F4	4002	B	51D4002B	1	1	30.05.2017	2,96	4,22	5,94	2,01	1,79	18,14	21,61	11,286	392,0054	NA		
4	88	D	Down	51	3002B	3033B	F4	4002	B	51D4002B	2	1	20.06.2017	1,49	5,49	7,37	3,36	3,34	20,82	25,22	24,6895	525,0804	NA		
4	157	D	Down	51	3002B	3033B	F4	4002	B	51D4002B	3	1	03.07.2017	2,85	4,66	6,68	2,56	2,58	21,2	22,45	17,1676	475,94	NA		
4	92	D	Down	51	3002B	3033B	F4	4002	A	51D4002A	1	1	21.06.2017	2,86	5,23	7,81	3,54	3,5	21,5	24,1	27,4912	518,15	NA		
4	93	D	Down	51	3002B	3033B	F4	4002	A	51D4002A	2	1	21.06.2017	4,03	4,71	7,01	2,8	2,78	20,15	22,22	19,5579	447,733	NA		
4	160	D	Down	51	3002B	3033B	F4	4002	A	51D4002A	3	1	03.07.2017	3,78	5,18	7,8	3,16	3,2	18,38	21,02	24,804	386,3476	NA		
4	165	D	Down	51	3002B	3052B	F4	4003	D	51D4003D	1	1	03.07.2017	4,81	4,82	7,13	2,71	2,81	20,53	24,67	19,6788	506,4751	NA		
4	166	D	Down	51	3002B	3052B	F4	4003	D	51D4003D	2	1	03.07.2017	4,22	4,67	8,16	2,95	2,87	20,18	25,23	23,7456	509,1414	NA		
4	215	D	Down	51	3002B	3052B	F4	4003	D	51D4003D	3	1	25.07.2017	2,76	4,81	7,59	3,07	2,96	19,41	21,71	22,88385	421,3911	NA		
